Hotel,Price,OTA
FabHotel Prime Palm Grove - Nr BKC,"₹ 2,338",Booking.com
Hotel O Sher E Punjab Andheri,"₹ 1,636",Booking.com
The UNTD BY Glitz Hotels,"₹ 1,665",Booking.com
Elite Suite 3 - Premium 2BHK - Lokhandwala Andheri,"₹ 5,499",Booking.com
FabHotel BKC Anex,"₹ 1,768",Booking.com
Fab Hotel Eldoria,"₹ 2,250",Booking.com
Collection O Vasai Express Highway,"₹ 1,653",Booking.com
Hotel A-One Stayz,"₹ 2,500",Booking.com
Ginger Mumbai Airport,"₹ 5,099",Booking.com
"Vibrant, Elegant 2bhk Apt nr BKC","₹ 8,799",Booking.com
ibis Mumbai Airport - An Accor Brand,"₹ 4,999",Booking.com
Relax hotel kurla,"₹ 1,799",Booking.com
Hotel T2 Grand By Glitz Hotels,"₹ 3,150",Booking.com
Hotel New Blue Sapphire Residency,₹ 936,Booking.com
Hotel Kohinoor Elite near BKC,"₹ 6,111",Booking.com
GCC Hotel and Club,"₹ 6,100",Booking.com
Hotel Zara International,"₹ 2,430",Booking.com
Hotel Sahar Garden Near Mumbai International Airport,"₹ 3,000",Booking.com
Corporate Apartment - Gagal Home,"₹ 7,500",Booking.com
HOTEL BKC DOWNTOWN - NEAR US EMBASSY,"₹ 1,687",Booking.com
FabHotel Royal International - Nr Mumbai International Airport,"₹ 2,368",Booking.com
Hotel Emerald Near T2 International Airport Mumbai,"₹ 1,151",Booking.com
Super Townhouse Oak Times Square Le Western,"₹ 2,496",Booking.com
MyOtel - Santacruz,"₹ 2,592",Booking.com
Hotel skyblue,"₹ 3,085",Booking.com
